date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,weekday
2017-10-25,48.59,50.49,50.4,48.51,360013.59,1.81,3.73,48.578,48.197,46.33,260783.94,255769.21,284540.13,2
2017-10-24,47.66,48.65,48.59,47.31,250109.08,0.96,2.02,48.244,47.867,45.975,237224.05,261131.19,290982.57,1
2017-10-23,47.49,48.25,47.63,47.26,232857.41,-0.01,-0.02,48.156,47.674,45.645,259894.66,273527.62,292008.88,0
2017-10-20,48.3,48.34,47.64,47.0,239296.2,-0.99,-2.04,47.998,47.558,45.365,260933.48,292162.42,294776.77,4
2017-10-19,48.65,49.25,48.63,48.16,221643.44,-0.1,-0.2,48.006,47.213,45.085,252469.68,293407.01,304493.17,3
2017-10-18,48.0,48.73,48.73,47.78,242214.14,0.58,1.21,47.816,46.693,44.698,250754.47,295176.61,301264.61,2
2017-10-17,46.7,48.22,48.15,46.52,363462.09,1.31,2.8,47.49,46.201,44.321,285038.32,294182.52,303030.06,1
2017-10-16,47.65,48.09,46.84,46.83,238051.55,-0.84,-1.76,47.192,45.654,43.925,287160.59,276081.84,300431.97,0
2017-10-13,47.6,48.16,47.68,47.0,196977.16,0.0,0.0,47.118,45.279,43.598,323391.35,284938.39,300552.79,4
2017-10-12,47.3,48.0,47.68,46.98,213067.41,0.58,1.23,46.42,44.921,43.264,334344.35,301995.68,299268.14,3
2017-10-11,46.25,47.98,47.1,46.25,413633.38,0.44,0.94,45.57,44.463,42.928,339598.74,313311.05,298217.45,2
2017-10-10,46.47,46.98,46.66,45.38,374073.44,0.19,0.41,44.912,44.082,42.622,303326.73,320833.96,286111.66,1
2017-10-09,44.8,47.1,46.47,44.47,419205.38,2.28,5.16,44.116,43.616,42.359,265003.1,310490.13,279987.11,0
2017-09-29,43.6,44.6,44.19,43.21,251742.14,0.76,1.75,43.44,43.172,42.104,246485.42,297391.12,272679.02,4
2017-09-28,43.77,43.84,43.43,42.81,239339.36,-0.38,-0.87,43.422,42.956,41.936,269647.01,315579.32,275332.52,3
2017-09-27,42.59,44.0,43.81,42.59,232273.31,1.13,2.65,43.356,42.703,41.815,287023.37,307352.62,286480.38,2
